block,embedding_mode,backend,backend_version,dimension,storage_type,dataset_id,corpus_size,scale_level,real_unique_segments,physical_rows,replication_factor,filter_selectivity_target,filter_selectivity_actual,strategy,pattern,returned_count,underfilled,filter_correctness,topk_agreement,ann_recall_vs_exact,quality_vs_groundtruth,p50_ms,p95_ms,p99_ms,cold_ms,ingest_s,index_build_s,vector_storage_mb,index_storage_mb,metadata_storage_mb,storage_amplification,index_params_json,settings_json,plan_used_vector_index,indexed_vectors_count,max_limit_setting,hardware_profile
C,synthetic,clickhouse,25.8,256,Array(Float32),auair,1866,L2,1866,1866,1.0,10pct,0.10021436227224008,prefilter,A,10,False,True,1.0,1.0,,80.283,80.283,,80.283,,,,,,,"{""dimension"":256}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,256,Array(Float32),auair,1866,L2,1866,1866,1.0,1pct,0.010182207931404072,prefilter,A,10,False,True,1.0,1.0,,86.829,86.829,,86.829,,,,,,,"{""dimension"":256}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,clickhouse,25.8,256,Array(Float32),auair,1866,L2,1866,1866,1.0,0.1pct,0.0010718113612004287,prefilter,A,2,True,True,1.0,1.0,,32.825,32.825,,32.825,,,,,,,"{""dimension"":256}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[""top_k<=100, max_limit ayarı değişmedi""]}",False,,100,Windows-AMD64-docker-cpu
C,synthetic,qdrant,1.12.4,2048,float32,auair,1866,L2,1866,1866,1.0,100pct,1.0,exact,A,10,False,True,1.0,1.0,,143.115,143.115,,143.115,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[]}",True,3402,100,Windows-AMD64-docker-cpu
C,synthetic,qdrant,1.12.4,2048,float32,auair,1866,L2,1866,1866,1.0,50pct,0.5,exact,A,10,False,True,1.0,1.0,,64.682,64.682,,64.682,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[]}",True,3402,100,Windows-AMD64-docker-cpu
C,synthetic,qdrant,1.12.4,2048,float32,auair,1866,L2,1866,1866,1.0,10pct,0.10021436227224008,exact,A,10,False,True,1.0,1.0,,72.34,72.34,,72.34,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[]}",True,3402,100,Windows-AMD64-docker-cpu
C,synthetic,qdrant,1.12.4,2048,float32,auair,1866,L2,1866,1866,1.0,1pct,0.010182207931404072,exact,A,10,False,True,1.0,1.0,,57.045,57.045,,57.045,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[]}",True,3402,100,Windows-AMD64-docker-cpu
C,synthetic,qdrant,1.12.4,2048,float32,auair,1866,L2,1866,1866,1.0,0.1pct,0.0010718113612004287,exact,A,2,True,True,1.0,1.0,,31.402,31.402,,31.402,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[]}",True,3402,100,Windows-AMD64-docker-cpu
C,synthetic,qdrant,1.12.4,2048,float32,auair,1866,L2,1866,1866,1.0,100pct,1.0,ann,A,10,False,True,1.0,1.0,,43.076,43.076,,43.076,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[]}",True,3402,100,Windows-AMD64-docker-cpu
C,synthetic,qdrant,1.12.4,2048,float32,auair,1866,L2,1866,1866,1.0,50pct,0.5,ann,A,10,False,True,1.0,1.0,,69.914,69.914,,69.914,,,,,,,"{""dimension"":2048}","{""warmup"":0,""measured_repetitions"":1,""query_count"":1,""execution"":""smoke"",""error"":null,""notes"":[]}",True,3402,100,Windows-AMD64-docker-cpu
